Company,Board_Independence,Board_Diversity,CEO_Chairman_Separation,Exec_Comp_Transparency,Board_Meeting_Frequency,Audit_Comm_Independence,Code_of_Ethics,Shareholder_Rights,Risk_Mgmt_Oversight,Transparency_Disclosure,Total_Score,Score_Percent
Company1,1,0,0,1,1,0,0,1,1,0,5,50.0
Company2,0,0,1,0,0,1,1,1,0,0,4,40.0
Company3,1,0,0,1,0,0,0,0,0,1,3,30.0
Company4,0,1,0,0,1,0,1,1,1,1,6,60.0
Company5,0,0,0,1,1,1,1,0,1,0,5,50.0
Company6,0,0,0,1,1,1,1,1,0,1,6,60.0
Company7,0,1,0,0,0,0,0,1,0,0,2,20.0
Company8,0,1,1,1,0,1,0,0,1,0,5,50.0
Company9,0,1,0,1,0,0,0,0,0,0,2,20.0
Company10,0,1,0,0,0,0,0,0,1,1,3,30.0
